label,Book Id,Length,Date,ext,value
1332IbnMuhammadJamalDinQasimi.Mash,Shamela0000343,12623,1332,-ara1,Shamela0000343-ara1
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin,Shamela0022842,109366,1332,-ara1,Shamela0022842-ara1
1332IbnMuhammadJamalDinQasimi.QawacidTahdith,Shamela0009993,109539,1332,-ara1,Shamela0009993-ara1
1332IbnMuhammadJamalDinQasimi.RisalaFiShay,Shamela0037486,9038,1332,-ara1,Shamela0037486-ara1
1332IbnMuhammadJamalDinQasimi.SirrIstighfar,Sham19Y0014014,5150,1332,-ara1,Sham19Y0014014-ara1
1332IbnMuhammadJamalDinQasimi.Tabaqat,ShamAY0034654,23681,1332,-ara1,ShamAY0034654-ara1
1332IbnMuhammadJamalDinQasimi.ThamaratTasaruc,Sham19Y0017748,1896,1332,-ara1,Sham19Y0017748-ara1
1332MahmudSamiBarudi.Diwan,ShamAY0037857,48085,1332,-ara1,ShamAY0037857-ara1
1332NurDinSalimi.BadhlMajhud,ShamIbadiyya0000391,12962,1332,-ara1,ShamIbadiyya0000391-ara1
1332NurDinSalimi.BahjatAnwar,ShamIbadiyya0000038,90643,1332,-ara1,ShamIbadiyya0000038-ara1
1332NurDinSalimi.FatawaHawlBacdAyat,ShamIbadiyya0000514,13086,1332,-ara1,ShamIbadiyya0000514-ara1
1332NurDinSalimi.GhayatMuradFiIctiqad,ShamIbadiyya0000055,1055,1332,-ara1,ShamIbadiyya0000055-ara1
1332NurDinSalimi.HujjajMuqannaca,ShamIbadiyya0000487,56403,1332,-ara1,ShamIbadiyya0000487-ara1
1332NurDinSalimi.Jawabat,ShamIbadiyya0000095,545769,1332,-ara1,ShamIbadiyya0000095-ara1
1332NurDinSalimi.JawharNizam,ShamIbadiyya0000471,102238,1332,-ara1,ShamIbadiyya0000471-ara1
1332NurDinSalimi.LamcaMurdiyya,ShamIbadiyya0000233,6211,1332,-ara1,ShamIbadiyya0000233-ara1
1332NurDinSalimi.MacarijAmal,ShamIbadiyya0000229,869890,1332,-ara1,ShamIbadiyya0000229-ara1
1332NurDinSalimi.Mashariq,ShamIbadiyya0000135,93183,1332,-ara1,ShamIbadiyya0000135-ara1
1332NurDinSalimi.NajasatDamMasfuh,ShamIbadiyya0000501,12497,1332,-ara1,ShamIbadiyya0000501-ara1
1332NurDinSalimi.RawdBayan,ShamIbadiyya0000024,47570,1332,-ara1,ShamIbadiyya0000024-ara1
1332NurDinSalimi.SharhBulughAmal,ShamIbadiyya0000883,36349,1332,-ara1,ShamIbadiyya0000883-ara1
1332NurDinSalimi.SharhJamicSahih,ShamIbadiyya0000433,330911,1332,-ara1,ShamIbadiyya0000433-ara1
1332NurDinSalimi.SharhTalcatShams,ShamIbadiyya0000150,149765,1332,-ara1,ShamIbadiyya0000150-ara1
1332NurDinSalimi.TalqinSubyan,ShamIbadiyya0000200,12212,1332,-ara1,ShamIbadiyya0000200-ara1
1332NurDinSalimi.TuhfatAcyan,ShamIbadiyya0000281,160132,1332,-ara1,ShamIbadiyya0000281-ara1
1332QutbAtfayyish.HamayanZad,Tafsir06049,2058557,1332,-ara1,Tafsir06049-ara1
1332QutbAtfayyish.HujjaFiBayanMahajja,ShamIbadiyya0000057,3847,1332,-ara1,ShamIbadiyya0000057-ara1
1332QutbAtfayyish.JamicSaghir1,ShamIbadiyya0000276,27642,1332,-ara1,ShamIbadiyya0000276-ara1
1332QutbAtfayyish.JamicSaghir3,ShamIbadiyya0000277,28601,1332,-ara1,ShamIbadiyya0000277-ara1
1332QutbAtfayyish.JawabLiAhlZawara,ShamIbadiyya0000727,5041,1332,-ara1,ShamIbadiyya0000727-ara1
1332QutbAtfayyish.KashfKurab,ShamIbadiyya0000728,41186,1332,-ara1,ShamIbadiyya0000728-ara1
1332QutbAtfayyish.LamTacrifIbadiyyaYaCuqbaYaJazairi,ShamIbadiyya0000066,43513,1332,-ara1,ShamIbadiyya0000066-ara1
1332QutbAtfayyish.SharhLamiyatAfcal,ShamIbadiyya0000887,120046,1332,-ara1,ShamIbadiyya0000887-ara1
1332QutbAtfayyish.SharhNilWaShifaCalil,ShamIbadiyya0000109,2437968,1332,-ara1,ShamIbadiyya0000109-ara1
1332QutbAtfayyish.Tafsir,ShamIbadiyya0000193,1438473,1332,-ara1,ShamIbadiyya0000193-ara1
1332QutbAtfayyish.TakhlisCani,ShamIbadiyya0000888,145738,1332,-ara1,ShamIbadiyya0000888-ara1
1332QutbAtfayyish.TaysirTafsir,Tafsir09050,1488590,1332,-ara1,Tafsir09050-ara1
1332ZaynabFawwaz.DurrManthur,Shamela0009229,236879,1332,-ara1.completed,Shamela0009229-ara1.completed
1333CaliHairiYazdi.IlzamNasib,Shia004053Vols,246862,1333,-ara1,Shia004053Vols-ara1
1334NajmDinTabasi.DirasatFiqhiyya,Shia000403,38103,1334,-ara1,Shia000403-ara1
1334NajmDinTabasi.IrsalTakfir,Shia000402,5258,1334,-ara1,Shia000402-ara1
1334NajmDinTabasi.Rajca,Shia004055,5982,1334,-ara1,Shia004055-ara1
1334NajmDinTabasi.RijalKhaqani,Shia002976,93874,1334,-ara1.completed,Shia002976-ara1.completed
1334NajmDinTabasi.SalatTarawih,Shia004056,14401,1334,-ara1,Shia004056-ara1
1335CabdRazzaqBaytar.HilyaBashar,Shamela0031371,344566,1335,-ara1.completed,Shamela0031371-ara1.completed
1335IbnCabdSamicAbiAzhari.Hidaya,ShamAY0034216,24506,1335,-ara1,ShamAY0034216-ara1
1335IbnCabdSamicAbiAzhari.ThamrDani,Shamela0007441,177397,1335,-ara1,Shamela0007441-ara1
1336CabdHamidThani.MudhakkaratiSiyasiya,JK000391,21388,1336,-ara1,JK000391-ara1
1337AhmadJindari.JamicWajiz,Zaydiyya0000276,175231,1337,-ara1,Zaydiyya0000276-ara1
1337AhmadJindari.RawdFuad,Zaydiyya0000335,3732,1337,-ara1,Zaydiyya0000335-ara1
1337CabdQadirMajlisi.NuzhatAfkar,Sham19Y0145166,267232,1337,-ara1,Sham19Y0145166-ara1
1337IstifanThani.Zajaliyya,PES20201021,2085,1337,-ara1.completed,PES20201021-ara1.completed
1337MuhammadKazimTabatabaiYazdi.CurwaWuthqa,Shia000405Vols,845363,1337,-ara1,Shia000405Vols-ara1
1337MuhammadKazimTabatabaiYazdi.HashiyatMakasib,Shia000411Vols,372079,1337,-ara1,Shia000411Vols-ara1
1337MuhammadKazimTabatabaiYazdi.MunjazatMarid,Shia000413,36375,1337,-ara1,Shia000413-ara1
1337MuhammadKazimTabatabaiYazdi.ZannFiSalat,Shia000404,17310,1337,-ara1,Shia000404-ara1
1337MuhammadZahriGhamrawi.SirajWahhaj,JK001244,186843,1337,-ara1,JK001244-ara1
1338AbuMuslimBahlani.DarakMuna,ShamIbadiyya0000651,2650,1338,-ara1,ShamIbadiyya0000651-ara1
1338AbuMuslimBahlani.Diwan,ShamIbadiyya0000653,98313,1338,-ara1,ShamIbadiyya0000653-ara1
1338AbuMuslimBahlani.NitharJawhar,ShamIbadiyya0000446,29861,1338,-ara1,ShamIbadiyya0000446-ara1
1338MuhammadFaridBey.Bahja,JK009384,58400,1338,-ara1.completed,JK009384-ara1.completed
1338MuhammadFaridBey.Tarikh,Shamela0006638,150867,1338,-ara1.completed,Shamela0006638-ara1.completed
1338TahirJazairiDimashqi.TawjihNazar,JK000990,202564,1338,-ara1,JK000990-ara1
